 ,投稿日時,テキスト,URL,imp,リプライ数,RT数,いいね数,引用数,投稿アプリ,@,名前,自己紹介,フォロー数,フォロワー数,ツイート数,アカウント作成日,
,2025/08/05 21:03,ノンプロ研のイベントはこんなにあるよ#ノンプロ研 #コミュニティ活用講座 https://t.co/uGABJokO6F,https://twitter.com/undefined/status/1952701939227214242,41,0,0,1,0,Twitter for Mac,watakkie,わたっきー | ノンプログラマーズ・テックキャンプ9/6（土）開催　運営スタッフ,下水道の水質検査のお仕事をしています。ノンプロ研所属。AppSheet/Notion/データベース/Python/VBAに興味あり（出来るとは言ってない）。最近はみきち先生のNotkonスクールに参加しました。Notionうまくかつようできるといいな。,617,247,3538,2021/01/30 13:53,
,2025/08/05 20:57,「ノンプロ研で感じたアウェイ感」Slackのスピードや知らないイベントがどんどん立ち上がり追いつけないという意見がある一方、アウェイ感を感じないといった意見も#ノンプロ研 #コミュニティ活用講座,https://twitter.com/undefined/status/1952700463347888167,34,0,0,1,0,Twitter for Mac,watakkie,わたっきー | ノンプログラマーズ・テックキャンプ9/6（土）開催　運営スタッフ,下水道の水質検査のお仕事をしています。ノンプロ研所属。AppSheet/Notion/データベース/Python/VBAに興味あり（出来るとは言ってない）。最近はみきち先生のNotkonスクールに参加しました。Notionうまくかつようできるといいな。,617,247,3538,2021/01/30 13:53,
,2025/08/05 20:38,みなさんのノンプロ研に入った理由、業務改善の方が大多数の中、ITについて色々語りたいと思って入ってきた方も#ノンプロ研 #コミュニティ活用講座,https://twitter.com/undefined/status/1952695687168266710,31,0,0,1,0,Twitter for Mac,watakkie,わたっきー | ノンプログラマーズ・テックキャンプ9/6（土）開催　運営スタッフ,下水道の水質検査のお仕事をしています。ノンプロ研所属。AppSheet/Notion/データベース/Python/VBAに興味あり（出来るとは言ってない）。最近はみきち先生のNotkonスクールに参加しました。Notionうまくかつようできるといいな。,617,247,3538,2021/01/30 13:53,
,2025/08/05 20:34,「教えることは、二度学ぶことである」　ジョセフ・ジュベールノンプロ研の中心的な考えですね。#ノンプロ研 #コミュニティ活用講座,https://twitter.com/undefined/status/1952694639145947456,49,0,0,1,0,Twitter for Mac,watakkie,わたっきー | ノンプログラマーズ・テックキャンプ9/6（土）開催　運営スタッフ,下水道の水質検査のお仕事をしています。ノンプロ研所属。AppSheet/Notion/データベース/Python/VBAに興味あり（出来るとは言ってない）。最近はみきち先生のNotkonスクールに参加しました。Notionうまくかつようできるといいな。,617,247,3538,2021/01/30 13:53,
,2025/08/05 20:29,ノンプロ研が生まれたエピソードタカハシさんがノンプログラマーがプログラミングを習得するにはどうすればいいか？習得にかかる時間200〜300時間をどうフォローしていくか？から始まりました。#ノンプロ研 #コミュニティ活用講座,https://twitter.com/undefined/status/1952693385871155456,34,0,0,0,0,Twitter for Mac,watakkie,わたっきー | ノンプログラマーズ・テックキャンプ9/6（土）開催　運営スタッフ,下水道の水質検査のお仕事をしています。ノンプロ研所属。AppSheet/Notion/データベース/Python/VBAに興味あり（出来るとは言ってない）。最近はみきち先生のNotkonスクールに参加しました。Notionうまくかつようできるといいな。,617,247,3538,2021/01/30 13:53,
,2025/08/05 20:22,今回のゴールは「ノンプロ研を自ら活用できるようになる」です1回目　コミュニティとイベント←今日ココ2回目　オンラインコミュニケーション卒業ライトニングトーク大会#ノンプロ研 #コミュニティ活用講座,https://twitter.com/undefined/status/1952691747169141049,27,0,0,1,0,Twitter for Mac,watakkie,わたっきー | ノンプログラマーズ・テックキャンプ9/6（土）開催　運営スタッフ,下水道の水質検査のお仕事をしています。ノンプロ研所属。AppSheet/Notion/データベース/Python/VBAに興味あり（出来るとは言ってない）。最近はみきち先生のNotkonスクールに参加しました。Notionうまくかつようできるといいな。,617,247,3538,2021/01/30 13:53,
,2025/08/05 17:02,●note更新！ノンプロ研の講座で生成AI活用について学んだので、その記録をまとめました。第一弾です。ノンプロ研 生成AI基礎講座を受講！ ブートキャンプ形式での学びと、Claudeで作る学習振り返りレポート｜Agrifeel-Diary@おおさき @massa_potato https://t.co/0OeU6ABFxR,https://twitter.com/undefined/status/1952641436622746017,1207,0,1,8,1,Twitter for Android,massa_potato,おおさき,"北海道十勝の畑作農家🚜楽しく農業を続けるため、プログラミングやノーコードアプリ制作を学んで遊んでます！／Python, GAS, 技術同人誌／ #ノンプロ研／ #東京通信大学 #TOU 情マネ7期生 3年次編入 ／じゃがいもアプリ本執筆→https://t.co/5GmW00bK10",1675,1343,4796,2015/05/26 02:13,
,2025/08/05 10:26,そう言われたら「粒度」って言葉すらノンプロ研に入る6年前まで知らなかったな。リュードってカタカナだと思ってた。,https://twitter.com/undefined/status/1952541600200249387,195,1,0,1,0,Twitter for iPhone,TsujiKenzo,Kenny | 9/6(土)開催ノンプログラマーズ・テックキャンプ2025運営メンバー,ケニーです。株式会社TG GLOBAL 代表取締役 https://t.co/FnwA3xonmA 日本一のホタテを世界に🐟コーチ🦄プログラマ🛫中小企業チャレンジ 📻 Podcast『五感で楽しむ旬北海道ラジオ』 学習ブログやnote（ほぼポエム）も書いてます https://t.co/cqCOxmHszJ,1184,1148,21716,2018/07/21 18:55,
,2025/08/05 09:58,@TsujiKenzo ノンプロ研面白そうだなぁと思ってはおります。独学の壁はすげぇよくわかるので。。。,https://twitter.com/undefined/status/1952534545766707701,11,1,0,1,0,Twitter for iPhone,fs_consa,ハム太郎,北京・上海で13年間お仕事→本帰国10年目の札幌生まれな札幌民オジ。2年弱の根室生活から札幌に戻ってきました。最近はもっぱらNFT・釣り・筋トレアカに、追加で保護猫２匹引き取ってからは猫アカに。。。,1680,606,7831,2010/10/19 13:07,
,2025/08/05 08:59,@TsujiKenzo いいな！登壇したいなノンプロ研での学びを発表したいな入会するかな,https://twitter.com/undefined/status/1952519836699066668,20,1,0,1,0,Twitter for iPhone,keitaro_aigc,けいたろう@Notion公式アンバサダー｜satto公式エバンジェリスト,【どんな素人でもAIとGASを使って１時間で業務改善します！！】非エンジニアの私だからこそあなたの業務を自動化できるかも？Notion公式アンバサダー｜ソフトバンク発の生成AIエージェントsattoの公式エバンジェリスト｜Notionさいたま主宰｜TableauNext2024｜DATASaber｜,1241,11097,15175,2021/04/21 12:53,
